# nAtoms Max_abs Associated_freq
116 0.790000 27.490000
148 0.750000 33.462000
196 0.730000 49.818000
236 0.700000 61.263000
288 0.680000 76.402000
348 0.650000 96.454000
406 0.630000 114.780000
462 0.620000 132.200000
546 0.600000 159.740000
618 0.580000 182.670000
690 0.570000 204.870000
790 0.560000 238.660000
876 0.540000 265.550000
966 0.530000 294.740000
1076 0.520000 330.830000
1168 0.510000 358.110000
1278 0.500000 394.050000
1408 0.490000 437.280000
1522 0.480000 472.590000
1636 0.480000 507.030000
1770 0.470000 551.520000
1906 0.460000 595.640000
2040 0.450000 637.520000
2202 0.450000 690.740000
2336 0.440000 732.590000
2486 0.430000 779.340000
2660 0.430000 837.230000
2812 0.420000 884.320000
2986 0.420000 938.660000
3164 0.410000 998.640000
3338 0.410000 1050.200000
3516 0.400000 1109.200000
3706 0.400000 1167.200000
3898 0.390000 1231.100000
4092 0.390000 1290.600000
4314 0.380000 1365.200000
4508 0.380000 1425.300000
4718 0.370000 1487.900000
4948 0.370000 1567.600000
5160 0.370000 1630.900000
5398 0.360000 1708.400000
5632 0.360000 1785.800000
5866 0.360000 1855.500000
6092 0.350000 1926.900000
6354 0.350000 2014.900000
6602 0.350000 2088.700000
6844 0.340000 2164.400000
7118 0.340000 2257.100000
7402 0.340000 2347.500000
7662 0.330000 2423.100000
