# nAtoms Max_abs Associated_freq
30 0.920000 4.992500
62 0.980000 6.761200
94 0.550000 11.578000
126 0.460000 15.962000
142 0.410000 17.560000
174 0.360000 22.481000
206 0.330000 27.244000
238 0.300000 31.921000
270 0.270000 36.617000
302 0.250000 41.199000
54 0.650000 6.506200
110 0.750000 22.430000
166 0.790000 23.125000
222 0.520000 30.316000
250 0.480000 32.788000
306 0.420000 41.145000
362 0.380000 49.728000
418 0.350000 58.128000
474 0.320000 66.547000
530 0.300000 74.723000
78 0.540000 10.214000
158 0.660000 25.264000
238 0.660000 55.763000
318 0.680000 53.144000
358 0.510000 51.914000
438 0.460000 61.856000
518 0.410000 73.387000
598 0.380000 85.300000
678 0.350000 97.286000
758 0.330000 108.850000
110 0.450000 14.547000
222 0.530000 33.279000
334 0.600000 65.265000
446 0.590000 120.000000
502 0.570000 122.000000
614 0.590000 115.760000
726 0.610000 117.780000
838 0.410000 131.010000
950 0.380000 146.920000
1062 0.360000 163.530000
134 0.380000 17.563000
270 0.470000 39.894000
406 0.520000 66.545000
542 0.560000 128.210000
610 0.540000 157.640000
746 0.530000 187.960000
882 0.530000 181.840000
1018 0.550000 180.830000
1154 0.400000 188.280000
1290 0.370000 205.500000
158 0.340000 21.092000
318 0.420000 46.279000
478 0.460000 74.970000
638 0.500000 119.210000
718 0.520000 156.330000
878 0.500000 237.320000
1038 0.490000 269.110000
1198 0.490000 264.320000
1358 0.510000 260.060000
1518 0.520000 266.260000
182 0.310000 24.510000
366 0.380000 53.028000
550 0.420000 84.304000
734 0.450000 124.110000
826 0.460000 147.810000
1010 0.490000 247.650000
1194 0.470000 331.060000
1378 0.460000 364.270000
1562 0.460000 362.710000
1746 0.470000 356.030000
206 0.280000 27.808000
414 0.350000 60.093000
622 0.390000 94.463000
830 0.420000 134.330000
934 0.420000 152.900000
1142 0.480000 237.870000
1350 0.460000 354.650000
1558 0.450000 438.080000
1766 0.440000 473.720000
1974 0.430000 476.410000
230 0.260000 31.101000
462 0.330000 67.026000
694 0.360000 104.600000
926 0.390000 146.490000
1042 0.390000 163.370000
1274 0.500000 230.850000
1506 0.450000 352.270000
1738 0.440000 474.460000
1970 0.420000 557.710000
2202 0.420000 597.470000
262 0.240000 35.958000
526 0.300000 77.470000
790 0.340000 120.190000
1054 0.360000 166.470000
1186 0.360000 183.010000
1450 0.380000 243.250000
1714 0.470000 343.610000
1978 0.430000 489.190000
2242 0.420000 627.480000
2506 0.410000 728.900000
