# nAtoms Max_abs Associated_freq
22 0.9100000000 4.0445000000
61 0.7700000000 11.0350000000
321 0.5400000000 68.3770000000
397 0.5200000000 86.5180000000
166 0.6300000000 34.4120000000
33 0.8800000000 5.4613000000
526 0.4900000000 116.4500000000
193 0.6100000000 39.9810000000
438 0.5100000000 95.0070000000
838 0.4400000000 185.8700000000
286 0.5600000000 61.0130000000
253 0.5800000000 53.9770000000
358 0.5300000000 75.9790000000
481 0.4900000000 103.8800000000
97 0.7000000000 18.8510000000
141 0.6400000000 27.7740000000
781 0.4500000000 173.4200000000
222 0.5800000000 45.8620000000
573 0.4800000000 126.3700000000
958 0.4300000000 215.0500000000
673 0.4600000000 147.5400000000
118 0.6700000000 23.0930000000
78 0.7400000000 14.9900000000
13 0.9900000000 1.5517000000
622 0.4700000000 136.7200000000
726 0.4500000000 161.7500000000
46 0.8300000000 8.2491000000
1021 0.4200000000 228.9900000000
897 0.4300000000 198.6400000000
