# nAtoms Max_abs Associated_freq
1386 0.4200000000 185.8100000000
490 0.5300000000 62.5320000000
180 0.6600000000 21.5630000000
396 0.5500000000 50.4790000000
1098 0.4500000000 146.4200000000
168 0.6500000000 20.0670000000
1026 0.4500000000 136.6700000000
416 0.5500000000 53.2880000000
986 0.4600000000 132.1800000000
270 0.5900000000 33.4730000000
1216 0.4300000000 161.5400000000
136 0.7100000000 16.2740000000
598 0.5100000000 78.0160000000
60 0.8200000000 6.8839000000
1426 0.4200000000 191.7000000000
306 0.5900000000 38.1000000000
126 0.7000000000 15.1150000000
656 0.5000000000 85.3080000000
196 0.6400000000 23.4900000000
1140 0.4400000000 151.1900000000
686 0.4900000000 89.1160000000
570 0.5200000000 74.4410000000
370 0.5700000000 47.5410000000
1176 0.4400000000 156.4700000000
76 0.7900000000 8.5093000000
48 0.8900000000 5.3113000000
846 0.4700000000 111.7000000000
26 0.9600000000 2.5690000000
98 0.7400000000 11.0340000000
150 0.6900000000 17.9650000000
440 0.5400000000 56.2650000000
468 0.5300000000 59.4060000000
66 0.8200000000 7.3669000000
1298 0.4300000000 175.2300000000
330 0.5700000000 40.7880000000
546 0.5100000000 70.9800000000
230 0.6300000000 28.7600000000
880 0.4700000000 115.9800000000
36 0.8800000000 3.8397000000
1340 0.4300000000 180.5800000000
748 0.4900000000 99.2120000000
1060 0.4500000000 141.6600000000
630 0.5000000000 81.5460000000
248 0.6200000000 30.9720000000
286 0.6000000000 35.6430000000
90 0.7400000000 10.2190000000
780 0.4800000000 103.3100000000
918 0.4600000000 120.2200000000
816 0.4700000000 107.3200000000
